year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,12,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",5791.00,749.00,404.30,67.72,96.18,1.56,179.24,36.00,3.00,75786.00,36683.00,10034.00,7876.00,52.00,21141.00
2024,12,UA,United Air Lines Network,DEN,"Denver, CO: Denver International",8538.00,1050.00,420.34,30.29,245.62,0.00,353.74,33.00,3.00,76015.00,28956.00,3099.00,9340.00,0.00,34620.00
2024,12,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7668.00,1320.00,381.48,14.10,199.13,6.59,718.69,18.00,3.00,76228.00,20282.00,1620.00,6810.00,310.00,47206.00
2024,12,AA,American Airlines Network,DEN,"Denver, CO: Denver International",726.00,175.00,66.56,4.46,27.94,1.41,74.63,13.00,0.00,11655.00,3968.00,443.00,1060.00,57.00,6127.00
2024,12,AS,Alaska Airlines Network,DEN,"Denver, CO: Denver International",167.00,18.00,4.75,0.52,6.12,0.00,6.61,1.00,0.00,505.00,139.00,13.00,157.00,0.00,196.00
2024,12,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",105.00,23.00,8.90,1.91,1.93,0.00,10.27,2.00,0.00,2517.00,647.00,312.00,397.00,0.00,1161.00
2024,12,DL,Delta Air Lines Network,DEN,"Denver, CO: Denver International",987.00,202.00,92.73,5.94,46.49,0.00,56.84,0.00,0.00,12247.00,5748.00,1171.00,1740.00,0.00,3588.00
2024,12,F9,Frontier Airlines,DEN,"Denver, CO: Denver International",1850.00,293.00,77.59,6.26,62.93,0.00,146.22,4.00,0.00,25464.00,6611.00,778.00,3118.00,0.00,14957.00
2024,12,G4,Allegiant Air,DEN,"Denver, CO: Denver International",16.00,5.00,2.38,0.00,1.21,0.00,1.40,0.00,0.00,245.00,61.00,0.00,48.00,0.00,136.00
2024,12,MQ,Envoy Air,DEN,"Denver, CO: Denver International",36.00,7.00,2.31,0.00,1.66,0.00,3.03,0.00,0.00,529.00,170.00,0.00,108.00,0.00,251.00
2024,11,AA,American Airlines Network,DEN,"Denver, CO: Denver International",661.00,134.00,44.12,2.34,50.71,0.38,36.46,10.00,0.00,7338.00,2755.00,539.00,1534.00,48.00,2462.00
2024,11,AS,Alaska Airlines Network,DEN,"Denver, CO: Denver International",165.00,19.00,6.30,0.00,7.11,0.00,5.60,1.00,0.00,940.00,359.00,0.00,292.00,0.00,289.00
2024,11,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",98.00,18.00,11.19,0.00,4.72,0.26,1.84,0.00,0.00,1017.00,703.00,0.00,154.00,9.00,151.00
2024,11,DL,Delta Air Lines Network,DEN,"Denver, CO: Denver International",901.00,144.00,52.52,0.00,69.71,0.00,21.77,0.00,0.00,7135.00,3695.00,0.00,2610.00,0.00,830.00
2024,11,F9,Frontier Airlines,DEN,"Denver, CO: Denver International",2147.00,494.00,93.93,10.40,139.89,0.00,249.78,44.00,2.00,34936.00,8127.00,3717.00,5667.00,0.00,17425.00
2024,11,G4,Allegiant Air,DEN,"Denver, CO: Denver International",18.00,3.00,1.25,1.00,0.00,0.00,0.75,0.00,0.00,248.00,79.00,17.00,0.00,0.00,152.00
2024,11,MQ,Envoy Air,DEN,"Denver, CO: Denver International",14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,11,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",5570.00,1021.00,523.78,80.56,149.90,0.00,266.76,212.00,4.00,90424.00,44461.00,12178.00,9389.00,0.00,24396.00
2024,11,UA,United Air Lines Network,DEN,"Denver, CO: Denver International",8315.00,1228.00,345.72,20.52,416.68,0.00,445.09,33.00,5.00,77386.00,23222.00,1688.00,16320.00,0.00,36156.00
2024,11,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7340.00,939.00,254.23,11.34,276.35,6.82,390.27,73.00,2.00,42486.00,11715.00,903.00,9810.00,586.00,19472.00
2024,10,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",5716.00,633.00,373.70,51.76,52.99,1.53,153.01,9.00,7.00,61324.00,36731.00,6489.00,4098.00,36.00,13970.00
2024,10,UA,United Air Lines Network,DEN,"Denver, CO: Denver International",9082.00,688.00,261.16,10.17,195.15,0.00,221.52,53.00,7.00,44918.00,20353.00,797.00,6599.00,0.00,17169.00
2024,10,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7718.00,844.00,251.50,5.50,130.13,3.54,453.33,41.00,5.00,39246.00,11445.00,479.00,4515.00,139.00,22668.00
2024,10,AA,American Airlines Network,DEN,"Denver, CO: Denver International",700.00,107.00,46.12,0.09,22.83,0.17,37.79,2.00,0.00,4875.00,1875.00,4.00,708.00,7.00,2281.00
2024,10,AS,Alaska Airlines Network,DEN,"Denver, CO: Denver International",149.00,26.00,7.28,0.23,8.45,0.51,9.53,1.00,0.00,1150.00,388.00,30.00,286.00,25.00,421.00
2024,10,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",119.00,6.00,2.83,0.00,3.04,0.00,0.13,0.00,0.00,356.00,258.00,0.00,76.00,0.00,22.00
2024,10,DL,Delta Air Lines Network,DEN,"Denver, CO: Denver International",1021.00,113.00,61.50,1.89,35.64,0.00,13.97,0.00,1.00,5857.00,4134.00,44.00,965.00,0.00,714.00
2024,10,F9,Frontier Airlines,DEN,"Denver, CO: Denver International",2374.00,524.00,115.66,7.38,139.06,0.00,261.91,28.00,0.00,36419.00,11942.00,378.00,4900.00,0.00,19199.00
2024,10,G4,Allegiant Air,DEN,"Denver, CO: Denver International",41.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,46.00,0.00,0.00,46.00,0.00,0.00
2024,10,MQ,Envoy Air,DEN,"Denver, CO: Denver International",10.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,93.00,93.00,0.00,0.00,0.00,0.00
2024,9,AA,American Airlines Network,DEN,"Denver, CO: Denver International",672.00,151.00,51.26,2.73,40.11,0.34,56.56,3.00,0.00,9330.00,3362.00,125.00,1702.00,11.00,4130.00
2024,9,AS,Alaska Airlines Network,DEN,"Denver, CO: Denver International",236.00,50.00,14.06,0.00,16.59,0.00,19.35,0.00,2.00,2018.00,798.00,0.00,484.00,0.00,736.00
2024,9,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",121.00,22.00,13.19,0.00,3.67,0.00,5.15,0.00,0.00,1200.00,760.00,0.00,140.00,0.00,300.00
2024,9,DL,Delta Air Lines Network,DEN,"Denver, CO: Denver International",1003.00,145.00,70.88,1.68,48.41,0.00,24.03,0.00,2.00,7866.00,4836.00,64.00,1560.00,0.00,1406.00
2024,9,F9,Frontier Airlines,DEN,"Denver, CO: Denver International",2284.00,364.00,86.41,4.53,120.10,0.00,152.95,12.00,0.00,27758.00,11069.00,1273.00,3940.00,0.00,11476.00
2024,9,G4,Allegiant Air,DEN,"Denver, CO: Denver International",45.00,5.00,1.09,0.23,1.77,0.00,1.91,1.00,0.00,266.00,44.00,15.00,103.00,0.00,104.00
2024,9,MQ,Envoy Air,DEN,"Denver, CO: Denver International",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,9,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",5553.00,703.00,388.10,44.25,65.71,2.00,202.95,5.00,12.00,62483.00,37046.00,6089.00,3406.00,63.00,15879.00
2024,9,UA,United Air Lines Network,DEN,"Denver, CO: Denver International",8634.00,875.00,298.71,18.63,296.07,0.00,261.59,36.00,12.00,61280.00,26996.00,1347.00,10828.00,0.00,22109.00
2024,9,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7594.00,1003.00,291.17,15.56,242.10,2.12,452.06,12.00,11.00,45788.00,14329.00,988.00,9026.00,48.00,21397.00
2024,8,AA,American Airlines Network,DEN,"Denver, CO: Denver International",693.00,235.00,72.94,10.10,51.86,0.00,100.10,14.00,1.00,17382.00,4622.00,878.00,2977.00,0.00,8905.00
2024,8,AS,Alaska Airlines Network,DEN,"Denver, CO: Denver International",271.00,67.00,10.24,1.69,27.52,0.00,27.55,1.00,2.00,3180.00,555.00,199.00,1143.00,0.00,1283.00
2024,8,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",153.00,57.00,30.55,1.10,12.29,0.73,12.33,4.00,0.00,4676.00,2488.00,320.00,716.00,56.00,1096.00
2024,8,DL,Delta Air Lines Network,DEN,"Denver, CO: Denver International",1076.00,261.00,108.12,7.06,86.55,0.00,59.26,13.00,9.00,19078.00,9793.00,887.00,4491.00,0.00,3907.00
2024,8,F9,Frontier Airlines,DEN,"Denver, CO: Denver International",2373.00,785.00,134.41,8.08,296.83,0.00,345.68,43.00,4.00,60439.00,15954.00,1098.00,14867.00,0.00,28520.00
2024,8,G4,Allegiant Air,DEN,"Denver, CO: Denver International",52.00,8.00,3.72,0.00,3.46,0.00,0.81,0.00,2.00,456.00,309.00,0.00,80.00,0.00,67.00
2024,8,MQ,Envoy Air,DEN,"Denver, CO: Denver International",36.00,6.00,3.59,0.00,1.00,0.00,1.41,0.00,1.00,200.00,100.00,0.00,42.00,0.00,58.00
2024,8,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",5668.00,1111.00,434.48,45.93,355.52,1.00,274.07,19.00,32.00,114902.00,56427.00,6648.00,23199.00,18.00,28610.00
2024,8,UA,United Air Lines Network,DEN,"Denver, CO: Denver International",9028.00,1599.00,480.08,80.36,544.98,1.00,492.58,121.00,58.00,116865.00,37361.00,8054.00,27755.00,22.00,43673.00
2024,8,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7980.00,1622.00,398.97,46.58,508.94,3.64,663.88,31.00,30.00,90007.00,21825.00,3267.00,26967.00,206.00,37742.00
2024,7,AA,American Airlines Network,DEN,"Denver, CO: Denver International",724.00,297.00,95.13,8.95,40.07,0.00,152.85,20.00,3.00,24698.00,8537.00,1107.00,1932.00,0.00,13122.00
2024,7,AS,Alaska Airlines Network,DEN,"Denver, CO: Denver International",279.00,61.00,18.04,0.26,17.92,0.00,24.77,0.00,2.00,3131.00,1651.00,8.00,711.00,0.00,761.00
2024,7,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",124.00,42.00,19.45,0.69,12.91,0.00,8.95,0.00,0.00,2420.00,1193.00,20.00,632.00,0.00,575.00
2024,7,DL,Delta Air Lines Network,DEN,"Denver, CO: Denver International",1150.00,332.00,148.79,8.54,88.85,0.00,85.83,85.00,8.00,26572.00,15102.00,556.00,4576.00,0.00,6338.00
2024,7,F9,Frontier Airlines,DEN,"Denver, CO: Denver International",2396.00,777.00,146.69,7.90,195.90,0.00,426.51,93.00,5.00,61987.00,16400.00,411.00,9613.00,0.00,35563.00
2024,7,G4,Allegiant Air,DEN,"Denver, CO: Denver International",60.00,14.00,3.65,0.00,4.44,0.00,5.92,2.00,1.00,742.00,173.00,0.00,151.00,0.00,418.00
2024,7,MQ,Envoy Air,DEN,"Denver, CO: Denver International",57.00,15.00,4.72,0.00,6.08,0.00,4.20,0.00,0.00,598.00,274.00,0.00,187.00,0.00,137.00
2024,7,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",5624.00,981.00,509.40,55.09,165.65,1.00,249.86,24.00,11.00,82635.00,43537.00,5897.00,11714.00,17.00,21470.00
2024,7,UA,United Air Lines Network,DEN,"Denver, CO: Denver International",9043.00,1866.00,675.24,73.02,441.65,0.00,676.08,258.00,47.00,162665.00,60888.00,7043.00,21668.00,0.00,73066.00
2024,7,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",8943.00,2049.00,567.03,46.43,369.36,5.58,1060.60,30.00,27.00,122198.00,33275.00,3699.00,19508.00,393.00,65323.00
2024,6,MQ,Envoy Air,DEN,"Denver, CO: Denver International",26.00,5.00,1.54,0.85,2.61,0.00,0.00,0.00,0.00,198.00,84.00,51.00,63.00,0.00,0.00
2024,6,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",5564.00,1171.00,557.11,89.34,277.88,0.54,246.13,68.00,35.00,100728.00,46746.00,11573.00,19100.00,14.00,23295.00
2024,6,UA,United Air Lines Network,DEN,"Denver, CO: Denver International",8820.00,1762.00,488.16,66.09,668.41,0.10,539.24,90.00,49.00,130618.00,39058.00,6156.00,35374.00,12.00,50018.00
2024,6,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",8611.00,2293.00,555.14,59.60,670.90,8.58,998.79,16.00,51.00,129416.00,30416.00,5595.00,35423.00,304.00,57678.00
2024,6,AA,American Airlines Network,DEN,"Denver, CO: Denver International",713.00,272.00,97.17,8.01,57.99,0.00,108.84,10.00,6.00,22408.00,7664.00,555.00,3242.00,0.00,10947.00
2024,6,AS,Alaska Airlines Network,DEN,"Denver, CO: Denver International",246.00,68.00,11.16,3.69,25.86,1.00,26.29,3.00,0.00,3313.00,609.00,426.00,1051.00,34.00,1193.00
2024,6,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",108.00,38.00,18.07,0.39,10.15,0.00,9.39,1.00,2.00,3290.00,1808.00,61.00,490.00,0.00,931.00
2024,6,DL,Delta Air Lines Network,DEN,"Denver, CO: Denver International",1109.00,311.00,119.98,2.53,111.04,0.59,76.87,1.00,4.00,22435.00,10864.00,372.00,6480.00,41.00,4678.00
