year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,12,NK,Spirit Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",772.00,198.00,39.50,0.90,106.02,0.10,51.48,3.00,6.00,15638.00,3593.00,70.00,7563.00,12.00,4400.00
2024,12,OH,PSA Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",932.00,257.00,71.24,20.26,70.47,0.00,95.03,23.00,4.00,27154.00,7016.00,2876.00,3950.00,0.00,13312.00
2024,12,OO,SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2453.00,581.00,333.97,93.64,81.42,3.00,68.97,99.00,18.00,60805.00,35475.00,14531.00,6425.00,173.00,4201.00
2024,12,UA,United Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",691.00,129.00,46.72,5.53,40.79,0.00,35.95,2.00,6.00,8457.00,2769.00,406.00,2427.00,0.00,2855.00
2024,12,YV,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",144.00,29.00,9.17,5.04,9.39,0.00,5.40,2.00,0.00,3173.00,578.00,1188.00,780.00,0.00,627.00
2024,12,YX,Republic Airline,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,12,9E,Endeavor Air Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2.00,2.00,0.00,0.00,1.55,0.00,0.45,0.00,0.00,152.00,0.00,0.00,132.00,0.00,20.00
2024,12,AA,American Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",13622.00,3036.00,795.72,161.48,934.51,11.70,1132.58,346.00,149.00,303265.00,95737.00,26955.00,56245.00,411.00,123917.00
2024,12,AS,Alaska Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",202.00,55.00,17.35,1.45,26.37,0.00,9.83,2.00,1.00,2203.00,520.00,67.00,1150.00,0.00,466.00
2024,12,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",29.00,4.00,0.95,1.00,2.05,0.00,0.00,0.00,0.00,182.00,71.00,64.00,47.00,0.00,0.00
2024,12,DL,Delta Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1012.00,249.00,110.01,2.86,76.79,0.00,59.34,1.00,13.00,16391.00,8505.00,154.00,3446.00,0.00,4286.00
2024,12,F9,Frontier Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",729.00,228.00,35.33,1.89,81.03,0.00,109.75,2.00,6.00,18723.00,3441.00,310.00,5461.00,0.00,9511.00
2024,12,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5370.00,1102.00,244.35,133.43,332.56,4.24,387.42,79.00,32.00,96036.00,16444.00,20437.00,21914.00,159.00,37082.00
2024,11,AA,American Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",13090.00,2298.00,543.46,108.58,787.55,5.76,852.65,228.00,95.00,206051.00,67889.00,16176.00,36048.00,389.00,85549.00
2024,11,AS,Alaska Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",197.00,63.00,8.76,0.89,44.64,0.00,8.71,3.00,1.00,2595.00,346.00,127.00,1849.00,0.00,273.00
2024,11,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",30.00,3.00,0.03,0.00,2.60,0.00,0.37,0.00,1.00,92.00,1.00,0.00,80.00,0.00,11.00
2024,11,DL,Delta Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1029.00,165.00,71.18,1.98,62.81,0.00,29.03,1.00,15.00,10583.00,5292.00,841.00,2814.00,0.00,1636.00
2024,11,F9,Frontier Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",906.00,280.00,50.17,2.68,115.91,0.00,111.24,12.00,2.00,24982.00,5139.00,270.00,6725.00,0.00,12848.00
2024,11,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5095.00,732.00,151.48,92.62,253.09,2.45,232.37,82.00,21.00,53942.00,11203.00,9440.00,14889.00,59.00,18351.00
2024,11,NK,Spirit Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",778.00,152.00,48.09,0.45,76.63,1.15,25.67,7.00,5.00,9156.00,2783.00,39.00,4099.00,68.00,2167.00
2024,11,OH,PSA Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",839.00,121.00,37.94,8.81,26.98,0.12,47.15,10.00,1.00,14893.00,6063.00,913.00,1578.00,25.00,6314.00
2024,11,OO,SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2450.00,568.00,307.67,94.82,72.49,2.67,90.35,87.00,19.00,58874.00,32260.00,14722.00,6435.00,160.00,5297.00
2024,11,UA,United Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",771.00,149.00,37.50,3.73,69.64,0.00,38.13,2.00,8.00,10937.00,1793.00,345.00,4723.00,0.00,4076.00
2024,11,YV,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",134.00,21.00,7.61,0.92,7.47,0.00,5.00,1.00,0.00,1536.00,530.00,34.00,640.00,0.00,332.00
2024,10,OO,SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2925.00,561.00,358.03,33.06,41.73,2.90,125.28,4.00,0.00,51112.00,35724.00,4202.00,2221.00,298.00,8667.00
2024,10,UA,United Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",787.00,105.00,40.02,0.00,29.71,0.00,35.27,0.00,1.00,6129.00,2539.00,0.00,784.00,0.00,2806.00
2024,10,YV,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",167.00,16.00,5.50,0.00,5.38,0.00,5.13,0.00,0.00,619.00,242.00,0.00,161.00,0.00,216.00
2024,10,YX,Republic Airline,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,10,AA,American Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",14563.00,1923.00,600.50,22.04,494.59,7.60,798.26,69.00,8.00,163335.00,65621.00,3308.00,16766.00,290.00,77350.00
2024,10,AS,Alaska Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",210.00,58.00,15.54,0.00,31.59,0.00,10.87,0.00,2.00,2257.00,719.00,0.00,1120.00,0.00,418.00
2024,10,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",31.00,5.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,301.00,201.00,0.00,100.00,0.00,0.00
2024,10,DL,Delta Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1084.00,112.00,58.59,1.51,30.57,0.00,21.32,0.00,1.00,6547.00,4105.00,50.00,1059.00,0.00,1333.00
2024,10,F9,Frontier Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",962.00,273.00,60.01,2.79,73.46,0.00,136.74,23.00,0.00,19620.00,5676.00,251.00,2941.00,0.00,10752.00
2024,10,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5923.00,514.00,161.45,7.58,143.66,1.96,199.36,0.00,1.00,31593.00,12267.00,471.00,5533.00,132.00,13190.00
2024,10,NK,Spirit Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",814.00,117.00,33.29,1.16,49.32,0.41,32.82,8.00,0.00,6255.00,1784.00,19.00,2228.00,7.00,2217.00
2024,10,OH,PSA Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",559.00,71.00,27.91,1.95,12.03,0.00,29.12,1.00,1.00,9382.00,3904.00,64.00,391.00,0.00,5023.00
2024,9,AA,American Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",13353.00,2331.00,641.11,66.67,668.14,5.68,949.40,38.00,20.00,170350.00,65091.00,3416.00,22037.00,231.00,79575.00
2024,9,AS,Alaska Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",235.00,79.00,17.29,0.00,46.60,0.65,14.45,1.00,1.00,3177.00,852.00,0.00,1783.00,28.00,514.00
2024,9,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",30.00,10.00,5.44,0.00,4.36,0.00,0.20,0.00,0.00,692.00,578.00,0.00,97.00,0.00,17.00
2024,9,DL,Delta Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1044.00,162.00,65.20,3.69,58.57,0.00,34.54,0.00,0.00,8626.00,4501.00,215.00,1880.00,0.00,2030.00
