year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,12,MQ,Envoy Air,ORD,"Chicago, IL: Chicago O'Hare International",2518.00,594.00,151.23,23.28,219.16,2.18,198.15,10.00,2.00,44858.00,15272.00,3736.00,8155.00,76.00,17619.00
2024,12,NK,Spirit Airlines,ORD,"Chicago, IL: Chicago O'Hare International",630.00,144.00,34.48,1.35,52.79,1.51,53.86,3.00,0.00,8537.00,2000.00,21.00,2972.00,42.00,3502.00
2024,12,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4144.00,1120.00,520.94,77.78,178.24,0.53,342.50,52.00,4.00,102869.00,45188.00,11679.00,10330.00,8.00,35664.00
2024,12,PT,Piedmont Airlines,ORD,"Chicago, IL: Chicago O'Hare International",594.00,206.00,40.80,16.39,56.36,0.00,92.45,11.00,3.00,27839.00,4449.00,5544.00,2949.00,0.00,14897.00
2024,12,UA,United Air Lines Network,ORD,"Chicago, IL: Chicago O'Hare International",7111.00,1406.00,420.01,21.68,636.74,0.00,327.57,25.00,4.00,84243.00,27662.00,2119.00,22261.00,0.00,32201.00
2024,12,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",428.00,69.00,21.40,1.26,8.50,0.00,37.85,0.00,0.00,4433.00,1070.00,82.00,326.00,0.00,2955.00
2024,12,AA,American Airlines Network,ORD,"Chicago, IL: Chicago O'Hare International",3892.00,721.00,241.46,12.70,142.54,1.56,322.73,17.00,0.00,73491.00,29689.00,2350.00,5621.00,76.00,35755.00
2024,12,AS,Alaska Airlines Network,ORD,"Chicago, IL: Chicago O'Hare International",211.00,46.00,14.47,0.89,18.76,0.00,11.87,0.00,0.00,2315.00,673.00,32.00,800.00,0.00,810.00
2024,12,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",84.00,17.00,7.24,0.81,5.67,0.00,3.28,1.00,0.00,978.00,451.00,43.00,241.00,0.00,243.00
2024,12,DL,Delta Air Lines Network,ORD,"Chicago, IL: Chicago O'Hare International",854.00,182.00,91.58,0.15,49.07,0.00,41.20,0.00,0.00,9306.00,5098.00,8.00,1593.00,0.00,2607.00
