year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,airport_code
2024,12,NK,Spirit Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",858.0,273.0,55.18,2.46,156.89,3.37,55.09,6.0,1.0,17094.0,3404.0,249.0,8590.0,173.0,4678.0,ATL
2024,12,OH,PSA Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",299.0,94.0,25.85,3.4,37.06,0.69,27.01,2.0,1.0,6475.0,1764.0,472.0,1568.0,11.0,2660.0,ATL
2024,12,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",599.0,189.0,123.7,37.76,25.97,0.0,1.57,5.0,2.0,23235.0,16633.0,4186.0,2309.0,0.0,107.0,ATL
2024,12,UA,United Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",531.0,104.0,36.79,1.87,32.29,0.0,33.04,4.0,1.0,5019.0,1635.0,219.0,1216.0,0.0,1949.0,ATL
2024,12,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2505.0,498.0,140.79,8.12,134.05,2.01,213.04,6.0,2.0,27650.0,7034.0,907.0,6018.0,92.0,13599.0,ATL
2024,12,YV,Mesa Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",41.0,7.0,2.76,0.0,3.45,0.0,0.78,0.0,0.0,392.0,143.0,0.0,163.0,0.0,86.0,ATL
2024,12,YX,Republic Airline,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",90.0,18.0,4.95,0.0,7.1,0.0,5.95,1.0,0.0,862.0,118.0,0.0,244.0,0.0,500.0,ATL
2024,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3450.0,671.0,136.35,19.61,202.0,0.0,313.05,24.0,8.0,58572.0,15335.0,2684.0,10028.0,0.0,30525.0,ATL
2024,12,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",536.0,124.0,50.73,3.26,21.85,0.0,48.15,6.0,3.0,9049.0,3816.0,546.0,1090.0,0.0,3597.0,ATL
2024,12,AS,Alaska Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",144.0,44.0,9.34,2.18,23.26,0.0,9.22,2.0,0.0,2884.0,349.0,498.0,1231.0,0.0,806.0,ATL
2024,12,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",204.0,70.0,33.24,0.86,12.15,0.0,23.74,3.0,0.0,4526.0,1855.0,78.0,571.0,0.0,2022.0,ATL
2024,12,DL,Delta Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",18697.0,3317.0,990.35,75.16,946.69,0.0,1304.8,11.0,13.0,219566.0,91810.0,10901.0,37922.0,0.0,78933.0,ATL
